ENG	RU	CATEGORY	FLAG	NOTE
Gauss	Гаусс	canon		Канон. Оружейное: гаусс-пушка (электромагнитное оружие, физик Гаусс).
Ghost	Гоуст	reference		CoD: MW — Ghost (Саймон Райли); шпион-стелс троп 'призрак'. Канон локали 'Гоуст'. Сильная отсылка.
Glock	Глок	canon		Канон. Оружейное — марка пистолета. Транслит в тон оружейной лексике.
Gregori	Григорий	reference	FLAG	Слав. 'Григорий' (греч. 'бодрствующий'); восточный колорит, скорее имя чем пасхалка
Growler	Рычун	predator-word		Хищное по смыслу: звериный рык кота. 'Рычун' грозно; не коллизирует с прочими.
Hector	Гектор	reference		Гектор Троянский — доблестный воин-аристократ ('Илиада'). Канон 'Гектор'. Идеал для галантного хищника.
Honor	Честь	reference		Канон. Благородное 'Честь' — кодекс галантного хищника; For Honor. Рыцарская лексика в самую тему.
Hunter	Охотник	canon		Канон 'Охотник' (канон-секция); суть вида — игрок ему добыча; охотничья лексика
Indigo	Индиго	color-word		Канон. Фиолетовый/синий кластер вида (Purple/Purble/Purpy/Violet).
Ingrid	Ингрид	translit		Сканд. ЖЕНСКОЕ имя. По гибрид-политике женские — в женской форме. Канон 'Ингрид'.
Jethro	Джетро	canon		Канон. Имя с библ. (Иофор) и поп-колоритом (Гиббс, NCIS). Слабая отсылка.
Katana	Катана	weapon-word		Самурайский меч (ниндзя-линза) + героиня DC; клинковая лексика, благородна для хищника
Keegan	Киган	reference		Канон. Отсылка: CoD Ghosts — Keegan P. Russ, снайпер-призрак. Уместно стелс-хищнику.
Kele	Келе	canon	FLAG	КАНОН. Не узнаётся; возможно хопи 'Kele'='ястреб' (хищный мотив). Транслит 'Келе'. Низкая уверенность.
Kent	Кент	reference		Канон. Намёк на Кларка Кента (двойная личность — как шпион). Слабая, в шпион-линзу.
Killer	Киллер	codename		Убийца-троп (Killer7/NMH); холодный профессионал. Транслит во избежание коллизии со Slayer/Assassin/Истребитель
Kitty	Китти	reference		Канон. Кошачье уменьшительное 'киса/котёнок' (издёвка-самоирония) + Kitty Pryde (X-Men).
Knife	Нож	weapon-word		Оружейный троп ближнего боя, тихое убийство (стелс-нож шпиона). По смыслу 'Нож'; не коллизирует с Blade→Клинок, Sword→Меч.
Leopold	Леопольд	reference		Канон. Королевское имя (Леопольды Бельгии) + корень leo-/leopard (кот-хищник!). Кошачье благородство.
Llewellyn	Лливелин	reference		Валлийское княжеское имя (Лливелин Великий); аристократ-архаика, канон
Lucille	Люсиль	reference		Канон. Отсылка: бита Нигана (TWD) + гитара B.B. King. Оружейно-злодейская нотка, женское имя как личность.
Luthor	Лютор	reference		DC — Lex Luthor (надменный гений-злодей, миллиардер). Канон рус-дубляжа 'Лютор'. Идеал для аристократа-командира.
Machete	Мачете	weapon-word		Канон. Клинок + экшен-икона (Родригес, Трехо). Брутальная клинковая лексика.
Majul	Маджул	translit	FLAG	Не узнаётся; возможно араб./выдуманное; чистый транслит, отсылки нет
Mantis	Мантис	reference		Канон. MGS — Psycho Mantis (телепат-злодей FOXHOUND). Высокая уверенность, идеал вида.
Manuel	Мануэль	canon		КАНОН. Исп./порт. имя (Эммануил). Скорее имя, не пасхалка. Изящный транслит, муж. форма.
Mask	Маска	reference		Канон. Шпионское 'Маска' — скрытность, двуличие, маскировка. Подходит скрытному хищнику.
Milton	Милтон	canon		Канон; Джон Мильтон 'Потерянный рай' (падший ангел-аристократ); благородно-демонический налёт
Mitchel	Митчел	canon		Канон. Обычное имя-контраст (Mitchell), не пасхалка.
Mitri	Митри	canon		КАНОН. Усечённое 'Dmitri/Дмитрий' (вост. колорит). Транслит 'Митри'.
Montgomery	Монтгомери	reference		Канон. Аристократ-имя: фельдмаршал Монтгомери (командир) + Монти Бёрнс (надменный магнат).
Morose	Угрюмый	dark-word	FLAG	По смыслу 'Угрюмый/Мрачный'; мрачная палитра вида. Спорно транслит vs смысл — выбран смысл в тон зловещести
Mortis	Мортис	dark-word		Латынь 'смерти' (род. падеж, memento mori). Мрачно-латинская набивка в тон галантной смерти; транслит.
Nevadan	Невадан	translit	FLAG	'Невадец' (географ., пустынно-ковбойский налёт). Отсылки нет. Как кличка-табличка транслит 'Невадан' грознее буквального 'Невадец'. Спорно.
Night	Ночь	reference		OVR Канон. Мрачно-хищное; кот охотится ночью. Транслит 'Найт' во избежание коллизии с Darkness/Nightfall.
Nightfall	Сумрак	dark-word		По смыслу зловеще (политика: Nightfall→Сумрак); тёмная лексика, не коллизирует с Night/Darkness→Тьма
Nik	Ник	translit		Усечённое Nikolai/Nick (вост. колорит), короткое имя-контраст.
Ocelot	Оцелот	reference		MGS — Revolver Ocelot: дикий кот + стрелок + надменный манипулятор-предатель. Канон 'Оцелот'. Идеал для вида-кота, очень высокая уверенность.
Ortho	Орто	canon		Канон. Греч. ortho-='прямой'; возможно намёк на Ортрос/Орф (миф. пёс). Транслит.
Oscar	Оскар	canon		Канон; NATO-радиокод 'Oscar' (милитари-шпион) + Оскар Уайльд (надменный денди)
Phantom	Фантом	reference		Канон. MGSV Phantom Pain + Призрак Оперы (аристократ в маске). Скрытно-благородный стелс-мотив.
Piercer	Бронебой	canon		КАНОН. Оружейно-бронебойное 'пробивающий броню/плоть'. Канон 'Бронебой'.
Preston	Престон	reference		Канон. Англ. аристократ-фамилия; намёк на Престона Гарви (Fallout 4). Скорее благородное имя.
Priest	Священник	canon		Канон 'Священник' (канон-секция); ядро церковного кластера, в тон архаике вида
Purble	Пёрбл	color-word		Искажённое 'purple' (цвет вида) + Purble Place. Сохранён мем-искажение; ё. Цветовая группа.
Purple	Фиолет	color-word		Фиолетовый кластер — цвет вида. По политике Purple→Фиолет (связно с Violet/Indigo/Purble/Purpy).
Purpy	Пёрпи	color-word		Уменьшит. искажение 'purple' (фиолет — цвет вида). Кошачья ласковость, сохранён игривый ё.
Randal	Рэндал	canon		Канон; Рэндалл (Монстры) / Рэндал (Clerks); слабая отсылка, скорее имя
Randolph	Рэндольф	reference		Канон. Аристократ-имя (Рандольф Черчилль) + Trading Places. Благородный налёт.
Raymon	Реймон	canon		КАНОН. Вариант 'Raymond/Реймонд' ('мудрый защитник'), усечённая форма. Транслит 'Реймон'.
Razor	Бритва	weapon-word		Оружейно-хищное 'Бритва' — острота когтя/клинка. Режущая лексика, острый как кошачий коготь.
Render	Раздиратель	predator-word		'to render' = разрывать плоть; звериное растерзание добычи, хищная лексика (политика: Render→Раздиратель)
Richard	Ричард	reference		Канон. Ричард Львиное Сердце — король-воин + лев (кот-хищник!). Кошачье королевское благородство.
Ripper	Потрошитель	weapon-word		Джек-потрошитель; MGR Raiden 'Ripper'. По политике Ripper→Потрошитель. Кровавая лексика, когти вида.
Ron	Рон	canon		Канон. Короткое имя (от Ronald), контраст пышным. Не пасхалка.
Ronin	Ронин	reference		Самурай без господина (фильм Ronin, Titanfall); благородный воин-одиночка, в тон надменному фехтовальщику, канон
Ronteal	Ронтил	translit	FLAG	Не узнаётся; возможно содержит 'teal'. Выдуманное, слабый транслит.
Sawblade	Циркулярка	weapon-word	FLAG	Оружейный 'пильный диск/циркулярка', перекликается с Gunsaw (saw!). Канон блока 'Пила', но Sawblade точнее = 'Циркулярка', не коллизирует с одиночным Saw. Спорно Пила vs Циркулярка.
Scorch	Скорч	reference		Канон. Огненное 'опаление' + титан Scorch (Titanfall). Транслит сохраняет грозное звучание.
Scratch	Коготок	predator-word		OVR Канон 'Царап'; кошачье 'царапина/коготь' + Old Scratch (дьявол); когтистая лексика
Shadow	Тень	reference	FLAG	OVR Стелс/мрак: тень, тёмная палитра + Shadow the Hedgehog. Транслит держит позывной; альт по смыслу 'Тень'. Коллизия с Darkness/Night — транслит разводит.
Shredder	Шреддер	reference		TMNT — Shredder (надменный злодей в клинковой броне). Канон рус-дубляжа 'Шреддер'. Идеал для хищника.
Silence	Тишина	dark-word		Канон. Стелс/оружейное 'Тишина' — бесшумность убийцы, глушитель; MGS V Quiet. Скрытная лексика.
Simeon	Симеон	reference		Канон; библ. Симеон (архаика) + злодей-мастермайнд Simeon Saint; сакрально-благородный налёт
Sinclair	Синклер	canon		Канон. Шотл. клан Синклер + BioShock 2 / Limbus. Благородная фамилия.
Slayer	Истребитель	weapon-word		Истребитель/убийца; Slayer (Guilty Gear — вампир-джентльмен), Doom Slayer. По смыслу 'Истребитель'; не коллизирует с Assassin→Ассасин, Ripper→Потрошитель.
Snake	Снейк	reference		Канон. Прямая MGS-пасхалка: Solid/Liquid/Naked Snake. Хищно-шпионский мотив.
Snatcher	Похититель	reference	FLAG	Пасхалка Кодзимы (Snatcher, андроиды-подмены) + смысл 'хватающий добычу'; выбран смысл-перевод, спорно vs транслит Снэтчер
Specialist	Специалист	canon		Канон. Милитари/шпион: элитный оперативник (CoD BO). Профессионально-холодная лексика в тон надменному профи.
Spy	Шпион	reference		TF2 — Spy: надменный франт, маскировка, нож в спину. Канон рус-локали TF2 'Шпион'. Идеал по характеру.
Sterling	Стерлинг	reference		Канон. Стерлинг Арчер (надменный шпион) + sterling silver (благородный металл). Шпионско-благородно.
Sulfur	Сера	canon		Канон 'Сера' (канон-секция); адский запах/дьявольский налёт + порох; демонически-оружейная лексика
Sullivan	Салливан	reference		Канон. Ирл. фамилия; намёк на Салли (Корпорация монстров) / Sully (Uncharted). Слабая отсылка.
Sword	Меч	weapon-word		Оружейно-благородный троп — рыцарский/самурайский клинок чести. По смыслу 'Меч', в тон галантному хищнику; не коллизирует с Blade→Клинок, Knife→Нож.
Thalamore	Таламор	translit		Выдуманное фэнтези-аристократ-имя (-more как Whitmore; WoW-налёт Theramore). Транслит, благородно звучит.
Theno	Тено	translit	FLAG	Не узнаётся; возможно усечённое греч. (Themis/Theno); транслит, отсылки нет
Torrent	Торрент	reference		Канон. Поток/ливень (стихия) + конь Torrent (Elden Ring). Транслит держит позывной.
Truth	Истина	canon		КАНОН. FMA — Truth (Истина, холодный судья); Halo — Пророк Истины. 'Истина' — философско-надменная лексика судьи-вида.
Umbra	Умбра	dark-word		Лат. umbra='тень' — мрачно-латинская набивка. Транслит 'Умбра' (смысл 'Тень' занят, избегаем коллизии с Shadow).
Vance	Вэнс	canon		Канон; Half-Life (Eli/Alyx Vance); жёсткая фамилия-позывной
Venus	Венера	reference		Канон. Латынь/миф: Венера (богиня/планета). Возвышенно-латинская набивка.
Vernon	Вернон	canon		КАНОН. HP — Vernon Dursley (надменный обыватель), аристократ-фамилия. Слабая отсылка, скорее благородное имя. Канон 'Вернон'.
Vilard	Вилард	translit		Выдуманное; созвучно 'villain' + фр. 'villard'. Злодейский налёт. Транслит.
Violet	Виолет	color-word	FLAG	Фиол. кластер — цвет вида. Как мужская кличка взят транслит 'Виолет' (а не жен. 'Фиалка/Виолетта'), вид муж. рода; спорно
Voodoo	Вуду	dark-word		Канон. Тёмная магия (CoD-позывной Voodoo). Оккультно-зловещая лексика.
Vutan	Вутан	canon	FLAG	КАНОН. Возможно искажённое 'Wotan' (Вотан/Один — бог войны, копьё/вороны). Мрачно-благородный мифомотив. Транслит 'Вутан', слабая уверенность.
Wayne	Уэйн	canon		Канон. DC: Брюс Уэйн — аристократ-миллиардер, тёмный ночной мститель. Идеал для надменного ночного хищника.
Wesson	Вессон	canon		Канон; оружейная пасхалка Smith & Wesson, в тон оружейной набивке
Whisker	Ус	predator-word		Кошачья анатомия по смыслу: кошачий ус/вибрисса. 'Ус' грозно-кратко; в тон Algernon 'усатый'. Хищник-кот.
Yseult	Изольда	reference	FLAG	Артуриана — Изольда (Yseult/Iseult) из 'Тристана и Изольды'. ЖЕНСКАЯ форма, устоявшаяся 'Изольда'. Спорно: женское имя в мужском виде.
Zander	Зандер	canon		Канон. Усечённое 'Alexander' (царское имя) + zander=судак (рыба-хищник!). Хищно-благородный налёт.
Zebco	Зебко	reference	FLAG	Рыболовный бренд Zebco (катушки); кошачья ирония про рыбалку-охоту; слабая брендовая пасхалка, транслит
