ENG	RU	CATEGORY	FLAG	NOTE
Gary	Гэри	translit		Обычное имя → транслит.
Gibby	Гибби	reference		Отсылка к iCarly (Gibby), канон RU «Гибби» (used). Транслит совпадает с каноном.
Goofer	Дурашка	meaning	FLAG	Goofer/goof = дурак, шут. По смыслу 'Дурашка/Балбес'; 'Балбес' занят под Doofus-ориентир, развёл на 'Дурашка'. Спорно.
Gourmand	Гурман	reference		Сильная отсылка → Rain World: Downpour (Gourmand — толстый прожорливый слизнекот, точное совпадение с темой). Канон/слово RU = Гурман.
Grizzly	Гризли	word-name		Природа/животное (медведь-гризли), по смыслу/устоявшийся транслит. Громила-медведь в тему.
Guburt	Губерт	translit	FLAG	Исковерканное имя (Gilbert/Hubert?) → транслит с сохранением кривизны. Флаг — нестандартная транслитерация.
Gumbo	Гамбо	translit	FLAG	По блоку отсылок неоднозначно (Gumby's dad / каджунское блюдо). Лин на еду/глупое слово → транслит 'Гамбо' (= и канон, и блюдо). Флаг: интент спорный.
Gump	Гамп	reference		Отсылка → Форрест Гамп (простодушный — идеально для тупого Orange). Рядом Gumpy. Канон RU = Гамп.
Gumpy	Гампи	reference	FLAG	Отсылка → Форрест Гамп (произв. от Gump), уменьш. Стандартно транслит Гампи. flag — отсылка через корень слабая, могла быть просто дурацкая кличка.
Gunther	Гюнтер	translit		Имя германского происхождения → канонный транслит «Гюнтер».
Hain	Хейн	translit	FLAG	Короткое имя/фамилия → транслит. Чтение спорно (Хейн/Хайн), флаг.
Halter	Холтер	translit	FLAG	Не отсылка. Неясное слово (недоуздок/тормоз); как имя-кличка → транслит. Спорно.
Hank	Хэнк	reference		Отсылка → Madness Combat (Хэнк Дж. Уимблтон), кластер Madness (Krinkels/Sanford тоже есть). Канон-транслит Хэнк совпадает с обычным.
Heavy	Пулемётчик	reference	FLAG	OVR Отсылка к TF2 Heavy (канон RU «Толстяк»), но и дескриптор вида. Берём канон. Флаг — амбигуэн.
Henry	Генри	translit		Обычное имя → устоявшаяся русская форма Генри.
Hitch	Хитч	translit	FLAG	Не отсылка. Слово 'зацепка/заминка' не читается как кличка громилы → транслит. Спорно.
Horrace	Хоррас	translit	FLAG	Имя (вариант Horace/Horrace) → транслит. flag — написание необычное, возможна авторская опечатка; альт. Гораций отвергнут (тут громила, не классич. форма).
Howard	Говард	translit		Обычное мужское имя → канонный транслит «Говард».
Imbecile	Имбецил	crude-insult		Прямой ориентир из брифа (Imbecile→Имбецил).
Isaac	Айзек	translit	FLAG	Слабый сигнал отсылки (Binding of Isaac); скорее обычное библейское имя. Транслит Айзек (канон, если отсылка). Спорно vs Исаак.
Jacob	Джейкоб	translit		Обычное имя → транслит.
James	Джеймс	translit		Обычное мужское имя → транслит.
Jameson	Джеймсон	translit		Фамилия/имя → транслит.
Jerry	Джерри	translit		Обычное имя → транслит.
Joe	Джо	translit		Обычное имя → транслит.
Johnny	Джонни	translit		Обычное мужское имя → транслит.
Jolly	Весельчак	canon		КАНОН из брифа: Jolly→Весельчак.
Jorge	Хорхе	translit		Обычное имя (испанское) → транслит Хорхе.
Josh	Джош	translit		Обычное имя → транслит.
Kaleb	Кейлеб	translit		Вариант Caleb → транслит «Кейлеб».
Kevin	Кевин	translit		Обычное имя → транслит (как в брифе Kevin→Кевин).
Koda	Кода	canon		Канон из др. секции — берём 1:1 (Братец медвежонок, Disney). На тему звериных имён.
Krinkels	Кринкелс	reference		Отсылка → Madness Combat (создатель, псевдоним Krinkels). Канон Кринкелс. Подтверждает кластер Madness.
Lacky	Шестёрка	meaning	FLAG	Lackey (прихвостень/холуй); «Шестёрка» — простецки-уголовно для тупого подручного. Флаг — слово исковеркано, можно транслит «Лэки».
Landon	Лэндон	translit		Обычное мужское имя → транслит.
Lester	Лестер	reference	FLAG	Неоднозначно: отсылка GTA V (Lester — хилый гений, противоположность громиле, слабый фит) либо обычное имя. Канон/транслит Лестер.
Maccer	Маккер	reference		Отсылка → GTA: San Andreas (Маккер, наркоман-рокер из Манчестера). Канон-транслит Маккер.
Marvin	Марвин	translit	FLAG	Возможна отсылка к HHGTTG/Pulp Fiction, но lean plain name; канон/транслит «Марвин». Флаг — отсылка спорная.
Matt	Мэтт	canon		КАНОН из брифа: Matt→Мэтт.
Max	Макс	translit		Обычное имя → транслит.
Mitch	Митч	translit		Обычное имя → транслит.
Mitchel	Митчел	translit		Имя (вариант Mitchell) → транслит.
Nathan	Нейтан	canon		КАНОН из брифа: Nathan→Нейтан.
Nomen	Номен	translit	FLAG	Не отсылка. 'Nomen' (лат. 'имя') — криптично; транслит Номен. Спорно.
Noob	Нуб	crude-insult		Кличка-оскорбление (геймерское). Noob→Нуб (ориентир из промпта).
Numbskull	Тупоголовый	crude-insult		Прямо из примеров регистра (Numbskull→Тупоголовый).
Odell	Оделл	translit		Имя/фамилия → транслит.
Orange	Апельсин	word-name	FLAG	OVR Цвет/еда как слово → по смыслу. Apelsин как имя-кличка вида ORANGE. Спорно: можно оставить 'Оранж' как имя.
Otto	Отто	canon		КАНОН задан: Отто. Обычное имя → транслит.
Paper	Бумажка	word-name	FLAG	Слово «бумага» как кличка → «Бумажка» (уничижительно, под тупого). Флаг — выбор формы.
Pate	Пейт	canon		КАНОН из брифа: Pate→Пейт.
Pickles	Огурчик	word-name	FLAG	Еда-кличка → по смыслу (солёные огурчики). Звучит как нелепая кличка здоровяка. Спорно vs транслит Пиклз.
Poob	Пуб	translit	FLAG	Мутный обрубок-слог без явного смысла → транслит Пуб. flag — возможна игра на poop/poo (тогда Какаш-вариант), но без явной отсылки берём транслит.
Poop	Какаха	crude-insult		Прямо из примеров регистра (Poop→Какаха).
Puro	Пуро	reference		Отсылка → Changed (Puro, латексный волк). Канон: Пуро.
Raig	Рейг	translit	FLAG	Обрубок/криптик (возможно от Craig) → транслит Рейг. Спорно.
Randal	Рэндал	translit		Обычное имя → транслит.
Rhett	Ретт	translit		Обычное мужское имя → транслит «Ретт».
Ringo	Ринго	reference	FLAG	Отсылка → The Beatles (Ringo Starr). Канон: Ринго. Флаг: интент умеренной уверенности (имя/отсылка).
Rocky	Рокки	reference		Отсылка → Рокки (Сталлоне, боксёр — на тему драчуна); также 'крепкий парень'. Канон RU = Рокки.
Root	Корень	word-name	FLAG	Слово (природа/корень) → по смыслу Корень. flag — могло быть имя/ник Root (комп.-админ-сленг); в тупом-громильском регистре Корень читается как природное слово.
Roph	Роф	translit	FLAG	Криптический обрубок/исковерканное → транслит «Роф». Флаг — неоднозначное чтение.
Rumpel	Румпель	reference		Отсылка → Rumpelstiltskin. Краткая форма от 'Румпельштильцхен' → Румпель.
Samuel	Сэмюэл	translit		Обычное имя → транслит.
Sanford	Сэнфорд	reference		Отсылка → Madness Combat (Сэнфорд, протагонист). Канон-транслит Сэнфорд, кластер Madness.
Sergey	Сергей	translit		Русское имя → каноничная форма «Сергей».
Soldier	Солдат	canon		КАНОН из брифа: Soldier→Солдат (лин на слово-роль, не TF2).
Steve	Стив	translit		Обычное имя → транслит.
Steven	Стивен	translit		Обычное имя → транслит.
Stew	Стю	translit	FLAG	Кличка/обрубок (Stuart) → транслит «Стю». Также «тушёнка», но имя-кличка уместнее. Флаг — двойное прочтение.
Stinky	Вонючка	crude-insult		Кличка по смыслу; ориентир из брифа (Stinky→Вонючка).
Stupid	Тупой	meaning		По смыслу в регистре здоровяка (пример из брифа: Stupid→Тупой).
T	Ти	initials		Инициал → кириллицей Ти (по политике: T→Ти).
Tank	Танк	meaning		Не отсылка; «танк» = здоровенный, прёт напролом — кличка-дескриптор громилы.
Terry	Терри	translit		Обычное имя → транслит.
Thomas	Томас	translit		Обычное имя → транслит.
Thuld	Тулд	translit	FLAG	Мутный обрубок без смысла → транслит Тулд. flag — написание странное, чтение неоднозначно (Талд/Тульд).
Thumper	Топотун	meaning	FLAG	Thump = бухать/топать; «Топотун» — кличка громилы, что топает/молотит. Флаг — есть отсылка к Bambi (Топотун — канон), но как кличка громилы тоже подходит.
Tod	Тод	canon		КАНОН из брифа: Tod→Тод (Лис и пёс).
Toler	Толер	translit	FLAG	Не отсылка. Неясное слово/фамилия → транслит Толер. Спорно.
Ulof	Улоф	translit	FLAG	Имя-вариант (искаж. Olof/Ulf?) → транслит Улоф. flag — нестандартное написание.
Wade	Уэйд	reference	FLAG	Отсылка к GTA V Wade (moderate), канон RU «Уэйд» совпадает с транслитом. Флаг — интент спорный.
Walter	Уолтер	translit		Обычное имя → устоявшийся транслит Уолтер.
Wyatt	Уайатт	translit		Обычное имя → транслит Уайатт.
Xavier	Ксавьер	translit		Обычное имя → транслит Ксавьер (устоявшаяся форма).
Yapper	Воздухан	meaning		OVR Yap = тявкать/трепаться без умолку; «Балабол» — болтун-пустозвон, простецки.
Zander	Зандер	translit		Имя (вариант Xander) → транслит.
Zare	Зейр	translit	FLAG	Криптик/обрубок → транслит. Чтение спорно: Зейр/Заре/Зэйр. Флаг.
