ENG	RU	CATEGORY	FLAG	NOTE
Goober	Губер	translit	FLAG	Сленг (дурашка/орех). Каноничной рус-формы нет → транслит Губер. Флаг: возможно Губер/Губир.
Gunsmith	Оружейник	rank-role		Профессия/роль в военном регистре: Gunsmith→Оружейник.
Hitman	Хитман	rank-role	FLAG	OVR Роль-профессия (наёмный убийца) → в военном регистре Ликвидатор. Flag: возможен Киллер/транслит Хитмен; выбрал уставный вариант для MILKY.
Hunter	Охотник	meaning	FLAG	Отсылка → Rain World слизнекот Hunter (канон Охотник). Слово общее (Half-Life/Destiny); в военке тоже 'охотник'. По смыслу — Охотник. Спорно из-за общности.
Isiah	Исайя	reference	FLAG	ОТСЫЛКА → Библия (пророк Исайя, вариант Isaiah). Связка с библейской линзой. Флаг: личное имя возможно Айзея.
Jebediah	Джебедайя	reference		ОТСЫЛКА → Kerbal Space Program, Jebediah Kerman. Канон — Джебедайя.
Jess	Джесс	translit		Женское имя → транслит в женской форме: Джесс. Не отсылка.
Jesse	Джесси	translit		Обычное имя → транслит Джесси. Не отсылка по своду.
Joseph	Джозеф	translit		Обычное мужское имя → транслит. Не библейский Иосиф по линзе, обычное Joseph→Джозеф.
Kasey	Кейси	translit		Обычное имя (вариант Casey) → транслит Кейси.
Kel	Кел	canon		КАНОН: Кел. Возможна отсылка → OMORI (Kel), но транслит совпадает. Низкая спорность.
Kleiner	Кляйнер	reference		Отсылка → Half-Life 2 (доктор Kleiner). Каноничная локализация — Кляйнер.
L33T	L33T	reference	FLAG	ОТСЫЛКА → leetspeak (1337=elite). Стилизованное написание оставляем латиницей. Флаг: альтернатива Л33Т.
Lance	Лэнс	translit	FLAG	Имя → транслит Лэнс. Возм. lance corporal (звание), но по линзе не отсылка; беру как имя.
Lancer	Лансер	reference	FLAG	ОТСЫЛКА → Gears of War (винтовка Lancer). Канон: Лансер. Flag: возможен смысл Улан, но оружейная линза шутера сильнее.
Lass	Ласс	translit	FLAG	Не отсылка. 'Lass'=девушка (шотл.); женский колорит. Как позывной — транслит Ласс. Спорно: возможно женская форма/смысл.
Leet	Лит	reference		ОТСЫЛКА → leetspeak/CS L33T. Развести с L33T → транслит Лит.
Llamar	Ламар	translit	FLAG	Имя/обрубок → транслит. Двойное ll по-русски Ламар (один л). Спорно написание.
Manuel	Мануэль	translit		Обычное имя → транслит. Не отсылка.
Medic	Медик	rank-role		Воинская специальность Medic → Медик. Военный регистр.
Mendel	Мендель	translit		Имя/фамилия (Грегор Мендель) → транслит Мендель. Не помечен отсылкой.
Messiah	Мессия	meaning		Кодовое/смысловое: Messiah→Мессия (позывной).
Milton	Милтон	translit		Обычное имя → транслит. Не отсылка.
Mitri	Митри	translit		Имя/обрубок (ср. Дмитрий) → транслит Митри. Не отсылка.
Muldraugh	Малдро	reference		ОТСЫЛКА → Project Zomboid, стартовый город Muldraugh. Канон Малдро.
Myker	Майкер	reference		ОТСЫЛКА → внутривселенная (Orsoniks/Casualties). Транслит Майкер.
Nirvana	Нирвана	word-name		Слово-имя → транслит/калька Нирвана. Не отсылка (по своду).
Officer	Офицер	rank-role		Звание/роль Officer → Офицер. Военный регистр.
Omega	Омега	codename		Греч. буква → Омега.
Operator	Оператор	rank-role		Военная роль (спецоператор): Operator→Оператор.
Orion	Орион	word-name		Созвездие/мифо-имя → канон Орион. Звучит как позывной. Не отсылка.
Ortho	Орто	canon		Канон из свода (1:1). Не отсылка.
Overseer	Надзиратель	reference		ОТСЫЛКА → Rain World Overseer / Fallout. Канон Надзиратель.
Pate	Пейт	canon		КАНОН (задан): Pate→Пейт. Возм. отсылка DS2, низкая уверенность.
Peyton	Пейтон	canon		КАНОН: Пейтон. Транслит.
Pheonix	Феникс	reference		Отсылка → миф. феникс (Pheonix=опечатка Phoenix). Орфо-опечатку причёсываем (UI-политика). Канон Феникс.
Phil	Фил	canon		Канон из других секций: Фил.
Piercer	Бронебой	rank-role	FLAG	Роль/кодовое (armor-piercer). Военный регистр: Бронебой. Альт. Пронзатель/Бронебойщик.
Poland	Поланд	meaning	FLAG	OVR Топоним-позывной. Flag: спорно — Польша (страна) звучит коряво как позывной; выбрал лат. форму Полония для кодового звучания. Альтернатива: транслит Поланд.
Price	Прайс	reference		Отсылка → Call of Duty (Captain Price). Каноничная локализация — Прайс. Усиливает CoD-кластер.
Priest	Священник	rank-role	FLAG	Роль/профессия → Священник. Развести с Deacon (если будет). Флаг: возможно Капеллан в военном регистре.
Proto	Прото	translit		Обрубок (prototype). Транслит-кодовое Прото.
Quincy	Куинси	translit		Обычное имя → транслит. Не отсылка.
Randy	Рэнди	translit		Обычное имя → транслит Рэнди. Не отсылка.
Reader	Ридер	reference	FLAG	Возможна RW-тень (итераторы/Reader-сущности), но 'читающий' общая кличка. Транслит Ридер. Флаг на ручную проверку (Ридер/Читающий).
Reuben	Рубен	translit		Обычное имя → транслит Рубен.
Reymond	Реймонд	translit		Обычное имя → транслит (вариант Raymond). Не отсылка.
Rocket	Ракета	weapon		Оружейно-кодовое → по политике Rocket→Ракета. Не отсылка.
Rosenburg	Розенберг	reference		ОТСЫЛКА → Half-Life: Blue Shift, д-р Rosenberg. Канон Розенберг.
Rude	Руд	translit	FLAG	Криптический/имя. Не отсылка по линзе. Транслит Руд; альт. как слово (грубый), но MILKY-регистр строгий — беру кодовое Руд.
Saint	Святой	reference	FLAG	ОТСЫЛКА → Rain World (slugcat Saint) + религ. линза. Канон RW-фандом: Святой. Flag: согласовать с формой слизнекотов в проекте (как Artificer).
Sarge	Сардж	rank-role	FLAG	Сокр. от Sergeant (сержант-разг.). Военный регистр; как позывной — транслит Сардж (ср. Red vs Blue Sarge). Спорно: можно 'Сержант', но это разговорная форма-кличка, держим Сардж.
Savant	Савант	rank-role	FLAG	Гений/учёный-савант → транслит Савант. Не отсылка. Флаг: возможно Эрудит/Гений по смыслу.
Scanner	Сканер	rank-role		Роль/спец: Scanner→Сканер (разведка/наводчик).
Sci	Сай	initials	FLAG	Сокращение от Sci(entist) → кириллицей Сай (по правилу инициалов/сокращений). Flag: возможна расшифровка-роль Учёный; оставил позывной-обрубок Сай.
Scientist	Учёный	rank-role		Роль/профессия Scientist → Учёный. По смыслу.
Scrungle	Скрангл	canon		Канон из других секций / мем-сленг: Скрангл.
Sergey	Сергей	canon		КАНОН (задан): Sergey→Сергей.
Shorty	Обрез	codename	FLAG	OVR Прозвище-позывной → Коротыш. Flag: для строгого MILKY-регистра возможна оружейная линза (Shorty = обрез/дробовик), но без подтверждения оставил кличку по росту.
Simon	Саймон	canon	FLAG	Канон из свода — Саймон. Возможна отсылка CoD (Simon 'Ghost' Riley), усиливает CoD-кластер; двусмысленно с библ. Симоном. Канон CoD: Саймон.
Sirvat	Сирват	reference	FLAG	ОТСЫЛКА → лор-вселенная дева (Casualties: Unknown) + арм. имя. Транслит Сирват. Флаг: роль не подтверждена.
Slinger	Стрелок	rank-role	FLAG	OVR Gun-slinger коннотация. Военный регистр: Стрелок. Альт. Метатель/Слингер.
Smith	Смит	translit		Обычное имя/фамилия → транслит Смит. Не отсылка (Gunsmith→Оружейник был бы ролью, но здесь чистое Smith).
Sniper	Снайпер	rank-role		Воинская специальность Sniper → Снайпер. Военный регистр.
Snow	Сноу	translit	FLAG	Не отсылка. Позывной → транслит Сноу (как кодовое имя). Развести со Snowball если появится. Флаг: возможно Снег по смыслу.
Snowball	Снежок	meaning		Не отсылка (по линзе). Смысловое Снежок; разведён с возможным Snow→Снег.
Soap	Соуп	reference		ОТСЫЛКА → Call of Duty MW, 'Soap' MacTavish. Канон-позывной: Соуп (не букв. Мыло).
Socrates	Сократ	reference		Отсылка → философ Сократ. Каноничная рус-форма Сократ. Иронично-учёная кличка.
Song	Сонг	translit	FLAG	Фамилия/позывной → транслит Сонг. Не отсылка. Флаг: как имя возможно Сонг, по смыслу 'Песнь' маловероятно для MILKY.
Specialist	Специалист	rank-role		Воинская должность/звание: Specialist→Специалист.
Strelok	Меченый	reference		OVR ОТСЫЛКА → S.T.A.L.K.E.R., Стрелок. Имя изначально русское: Стрелок.
Sulfur	Сера	meaning	FLAG	Не отсылка. 'Sulfur'=сера (хим., запах пороха/серы). По смыслу — Сера. Спорно: можно транслит, но смысл уместен в военке.
Sylvia	Сильвия	translit		Женское имя → транслит в женской форме Сильвия.
Tactician	Тактик	rank-role		Роль: Tactician→Тактик.
Tinkerer	Механик	rank-role	FLAG	Роль-профессия (мастеровой/чинит) → в военном регистре Механик. Flag: возможен Мастеровой/Кустарь; выбрал уставный Механик. Развести с Smith/Gunsmith.
Tod	Тод	canon		Канон из свода — Тод. Отсылка 'Лис и пёс' (Disney, лис Тод); также нем. Tod=смерть. Канон Тод.
Tory	Тори	canon		Канон из других секций: Тори.
Trapper	Минёр	rank-role	FLAG	Роль (ставит ловушки). Военный регистр: Минёр (мины/растяжки). Альт. Ловчий/Капканщик.
Trill	Трилл	translit		Криптический обрубок/слово → транслит Трилл. Не отсылка (по своду).
Union	Юнион	word-name	FLAG	Не отсылка. 'Union'=союз/объединение; как позывной — транслит Юнион. Спорно: возможно смысловое 'Союз'.
Unit	Юнит	rank-role	FLAG	Военное 'подразделение/боевая единица'. Позывной-обезличка → Юнит. Флаг: возможно Боец/Единица по смыслу.
Valen	Вален	translit		Имя/обрубок (Valentine?) → транслит Вален.
Vance	Вэнс	reference		ОТСЫЛКА → Half-Life 2, семья Vance (Eli/Alyx). Канон локализации: Вэнс.
Vernon	Вернон	translit		Обычное имя → транслит Вернон. Не отсылка.
Vesper	Веспер	translit	FLAG	Не отсылка. Позывной (вечерняя звезда/вечерня) → транслит Веспер. Военно звучит как позывной. Флаг: возможна отсылка (Bond) но не помечена.
Vise	Тиски	meaning	FLAG	Vise = тиски (хватка/удержание). Кодовое Тиски. Альт. транслит Вайс, но смысл уместнее в спецназ-регистре.
Vutan	Вутан	reference		ОТСЫЛКА → вселенная дева (Orsoniks). Транслит-канон: Вутан.
Walker	Уокер	canon		Канон из свода (1:1) — Уокер. Не отсылка по своду.
Watcher	Созерцатель	reference		OVR ОТСЫЛКА → Rain World: The Watcher (DLC). Канон Наблюдатель; также военная роль наблюдатель/корректировщик.
Wayne	Уэйн	translit		Обычное имя → транслит Уэйн (как в примере политики).
White	Белый	translit	FLAG	OVR Имя/фамилия → транслит Уайт. Flag: возможен смысл Белый (пара со стороной/цветом, ср. East); для имени-фамилии MILKY выбрал транслит.
Wick	Уик	reference		Отсылка → John Wick (Джон Уик). Каноничная форма дубляжа — Уик. Также 'wick'=фитиль; в контексте киллеров/военки — Уик.
