Rivulet	Ручей	reference		Отсылка: Rain World слизнекот Rivulet (полуводный, аксолотль). Рус-вики единогласно Ручей (НЕ Риволет из брифа). Канон подтверждён.
Roofi	Руфи	translit		Криптическая кличка Руфи (возм. Rufus), отсылки нет — транслит
Roph	Роф	canon		Канон. Кличка Роф, отсылок нет.
Roti	Роти	translit		Обрубок-слог (хлеб roti); транслит без отсылки.
Rusy	Раси	translit	FLAG	Кличка от Rusty? Отсылки нет. Транслит Раси; спорно чтение (Раси/Руси/Рыжик).
Salty	Солёный	water-word		Salty=солёный (морская вода / старый морской волк) — морская тема по смыслу
Sea	Море	water-word		Sea = море, ядро морской темы. По смыслу. Развёл с Cobalt/Hydro/Wavey.
Seal	Тюлень	water-word		Seal=тюлень — морское животное, по смыслу.
Shark	Акула	biting-word		Shark=акула, кусачая морская тема, ядро вида. Смысловой перевод.
Shrimp	Креветка	water-word		Shrimp=креветка — морская тема (также 'мелюзга'), по смыслу; разведено с Fishy (Рыбка)
Slimmi	Худышка	meaning	FLAG	Двусмысленно: slim=худой / slime=слизь (водно-слизистая). Выбрал милое 'Худышка'; альт. 'Слайми'.
Slippy	Слиппи	reference		Слиппи Тоад из Star Fox (жаба-амфибия, добродушный недотёпа) + slippy=скользкий. Канон-транслит.
Song	Сонг	canon		Канон. Song=песня (китовая?)/фамилия Сон; выбран транслит Сонг, не конкретная отсылка.
Squeaky	Пискля	meaning		Squeaky=пищащий/скрипучий (звук дельфина?) — милая звуковая кличка по смыслу
Star	Звёздочка	meaning	FLAG	Star = звезда / морская звезда (starfish) / спорт-звезда. Тёплое 'Звёздочка' годится и для морской звезды, и для добряка.
Surfer	Сёрфер	sport-word		Surfer=сёрфер — водно-спортивная тема, по смыслу.
Swimmer	Пловец	sport-word		Swimmer=пловец, водно-спортивная тема. Смысловой перевод.
Tacti	Тактик	sport-word		От tactic/tactical=тактик — спортивно-стратегическая кличка по смыслу, не водная
Tobia	Тобиа	canon		Канон. Вариант Tobias, не отсылка — транслит.
Toothy	Зубастик	biting-word		Toothy=зубастый — кусачая тема, мило.
Torbi	Торби	translit		Кличка Торби (возм. Torbjörn — слабо). Отсылки нет, транслит.
Toro	Торо	translit	FLAG	Двусмысленно: toro=бык (исп., бодучий/спортивный) ИЛИ тунец-торо (суши, рыбная тема) — транслит как баланс, спорно
Tot	Кроха	meaning		Tot = малыш/карапуз, милая кличка. 'Кроха' тёплее 'Малыш', не коллизит.
Trill	Трилл	canon		Канон даёт Трилл (а не Трель). Не водная отсылка.
Trim	Стройняшка	sport-word	FLAG	Trim=подтянутый/в форме (спорт) или морск. дифферент. Выбран спорт-смысл Стройняшка в духе добряков; спорно vs транслит Трим.
Tropi	Тропик	water-word		От tropical=тропический (тропические воды/острова) — морская тема по смыслу
Tuffy	Крепыш	sport-word		От tough = крепкий/крутыш, спортивно-задиристая но милая. 'Крепыш'; Tom&Jerry отсылка низко.
Tural	Турал	translit		Тюркское/азербайджанское имя Турал; экзотический колорит. Транслит.
Valen	Вален	canon		Канон. Уменьш. от Valentin(e) — Вален. Не отсылка.
Waterfall	Водопад	water-word		Канон: Водопад (прямая водная семантика; также локация Undertale 'Водопад', уверенность в конкр. отсылке низкая) — по смыслу
Wavey	Волнушка	water-word		От wave = волна, водная тема. Ласковое 'Волнушка' в духе добряка; развёл с Sea/Hydro/Cobalt.
Willy	Вилли	reference	FLAG	Вилли — косатка из 'Освободите Вилли' (морская пасхалка), но и имя. Рус-дубляж Вилли.
Wiwi	Виви	translit		Детская удвоенная кличка Виви. Отсылки нет, транслит.
Woozie	Дурман	meaning	FLAG	От woozy=одурманенный/головокружительный; возм. слабо Woozie из GTA SA — по смыслу 'Дурман', не водная — спорно
Yapper	Воздухан	canon		Канон. Yapper = тявкала/балаболка, кусачая-говорливая тема.
Zander	Зандер	canon		Zander=судак (рыба) И уменьш. от Alexander; канон даёт транслит Зандер.
